song,artist,releaseYear,wasFirst,hasYear,playCount
Hold On Loosely,.38 Special,1981,1,1,85
Caught Up in You,.38 Special,1982,1,1,82
Rockin' Into the Night,.38 Special,1980,1,1,18
Fantasy Girl,.38 Special,,1,0,3
Art For Arts Sake,10cc,1975,1,1,1
Kryptonite,3 Doors Down,2000,1,1,13
When I'm Gone,3 Doors Down,2002,1,1,6
Loser,3 Doors Down,2000,1,1,1
What's Up?,4 Non Blondes,1992,1,1,3
Take On Me,a-ha,1985,1,1,1
You Shook Me All Night Long,AC/DC,1980,1,1,138
Back In Black,AC/DC,1980,1,1,97
Highway To Hell,AC/DC,1979,1,1,92
Dirty Deeds Done Dirt Cheap,AC/DC,1976,1,1,85
Hells Bells,AC/DC,1980,1,1,74
T.N.T.,AC/DC,1975,1,1,66
For Those About To Rock,AC/DC,1981,1,1,46
Shoot To Thrill,AC/DC,,1,0,45
Have a Drink On Me,AC/DC,1980,1,1,39
It's A Long Way To The Top,AC/DC,1975,1,1,39
Thunderstruck,AC/DC,1990,1,1,34
Girls Got Rhythm,AC/DC,,1,0,24
Rock and Roll Ain't Noise Pollution,AC/DC,1980,1,1,21
Moneytalks,AC/DC,,1,0,20
Who Made Who,AC/DC,1986,1,1,12
Big Gun,AC/DC,1993,1,1,6
CAN'T STOP ROCK'N'ROLL,AC/DC,,1,0,5
Let's Get It Up,AC/DC,,1,0,4
Let There Be Rock,AC/DC,1977,1,1,3
Whole Lotta Rosie,AC/DC,1977,1,1,3
Live Wire,AC/DC,,1,0,2
Shot Down In Flames,AC/DC,1979,1,1,2
Touch Too Much,AC/DC,1979,1,1,2
What Do You Do For Money Honey,AC/DC,,1,0,2
rr,AC/DC,,1,0,1
Hard As A Rock,AC/DC,1995,1,1,1
Jailbreak,AC/DC,1984,1,1,1
Night Prowler,AC/DC,1979,1,1,1
Sin City,AC/DC,,1,0,1
How Long,Ace,1974,1,1,1
Dog On A Leash,Adelitas Way,2014,1,1,4
Dream On,Aerosmith,1973,1,1,142
Sweet Emotion,Aerosmith,1975,1,1,141
Walk This Way,Aerosmith,1975,1,1,106
Come Together,Aerosmith,,1,0,65
Rag Doll,Aerosmith,1987,1,1,47
Dude (Looks Like a Lady),Aerosmith,1987,1,1,42
Back in the Saddle,Aerosmith,1976,1,1,39
Love In An Elevator,Aerosmith,1989,1,1,35
Janie's Got A Gun,Aerosmith,1989,1,1,34
What It Takes,Aerosmith,1989,1,1,31
Livin' On The Edge,Aerosmith,1993,1,1,27
Same Old Song and Dance,Aerosmith,1974,1,1,18
Cryin',Aerosmith,1993,1,1,15
Train Kept A-Rollin',Aerosmith,1974,1,1,15
Angel,Aerosmith,1987,1,1,12
The Other Side,Aerosmith,,1,0,11
Crazy,Aerosmith,1993,1,1,7
Mama Kin,Aerosmith,1973,1,1,5
Last Child,Aerosmith,1976,1,1,4
Big Ten Inch,Aerosmith,1975,1,1,3
No More No More,Aerosmith,1975,1,1,2
Seasons of Wither,Aerosmith,1974,1,1,2
Toys in the Attic,Aerosmith,1975,1,1,2
"Baby, Please Don't Go",Aerosmith,,1,0,1
Draw The Line,Aerosmith,1977,1,1,1
Jaded,Aerosmith,2001,1,1,1
Kings and Queens,Aerosmith,,1,0,1
Let the Music Do the Talking,Aerosmith,1985,1,1,1
One Way Street,Aerosmith,,1,0,1
Pink,Aerosmith,1997,1,1,1
You See Me Crying,Aerosmith,,1,0,1
You Oughta Know,Alanis Morissette,1995,1,1,6
Hand In My Pocket,Alanis Morissette,1995,1,1,1
Black Velvet,Alannah Myles,1989,1,1,1
Fantasy,Aldo Nova,,1,0,4
School's Out,Alice Cooper,1972,1,1,44
No More Mr. Nice Guy,Alice Cooper,1973,1,1,39
I'm Eighteen,Alice Cooper,1971,1,1,24
Under My Wheels,Alice Cooper,1971,1,1,18
Welcome To My Nightmare,Alice Cooper,1975,1,1,10
Eighteen,Alice Cooper,1971,1,1,4
Billion Dollar Babies,Alice Cooper,1973,1,1,2
BE MY LOVER,Alice Cooper,,1,0,1
Elected,Alice Cooper,1973,1,1,1
House Of Fire,Alice Cooper,,1,0,1
Man In The Box,Alice In Chains,1990,1,1,13
No Excuses,Alice In Chains,1994,1,1,2
Rooster,Alice In Chains,1992,1,1,2
Them Bones,Alice In Chains,1992,1,1,2
Would?,Alice In Chains,1992,1,1,2
Down in a Hole,Alice In Chains,1992,1,1,1
Ramblin' Man,Allman Brothers Band,1973,1,1,34
Midnight Rider,Allman Brothers Band,1970,1,1,21
Jessica,Allman Brothers Band,1973,1,1,12
Melissa,Allman Brothers Band,1972,1,1,6
Whippin' Post,Allman Brothers Band,,1,0,6
Statesboro Blues,Allman Brothers Band,1971,1,1,4
No One to Run With,Allman Brothers Band,1994,1,1,3
One Way Out,Allman Brothers Band,,1,0,3
Good Clean Fun,Allman Brothers Band,1990,1,1,2
Southbound,Allman Brothers Band,,1,0,2
Ain't Wastin' Time No More,Allman Brothers Band,1972,1,1,1
Blue Sky,Allman Brothers Band,1972,1,1,1
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,1,1,1
A Horse With No Name,America,1972,1,1,26
Sister Golden Hair,America,1975,1,1,19
Ventura Highway,America,1972,1,1,1
Don't Bring Me Down,Animals II,1966,1,1,1
Don't Let Me Be Misunderstood,Animals II,1965,1,1,1
Immigrant Song,Ann Wilson,,1,0,2
Roller,April Wine,,1,0,1
Hold Your Head Up,Argent,1972,1,1,11
Coming into Los Angeles,Arlo Guthrie,,1,0,1
Wayside,Artful Dodger,,1,0,1
Heat of the Moment,Asia,1982,1,1,37
Only Time Will Tell,Asia,1982,1,1,3
So Into You,Atlanta Rhythm Section,1976,1,1,1
Spooky,Atlanta Rhythm Section,,1,0,1
Like a Stone,Audioslave,2002,1,1,1
Turn Up the Radio,Autograph,1984,1,1,21
Blondes In Black Cars,Autograph,,1,0,1
Rock And Roll Party In The Streets,Axe,,1,0,1
You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,1974,1,1,69
Takin' Care Of Business,Bachman-Turner Overdrive,1973,1,1,39
Let It Ride,Bachman-Turner Overdrive,1973,1,1,13
Roll On Down The Highway,Bachman-Turner Overdrive,,1,0,5
Feel Like Makin' Love,Bad Company,,1,0,113
Bad Company,Bad Company,1974,1,1,96
Rock 'n' Roll Fantasy,Bad Company,,1,0,91
Shooting Star,Bad Company,1975,1,1,62
Ready For Love,Bad Company,,1,0,45
Burnin' Sky,Bad Company,1977,1,1,41
Can't Get Enough,Bad Company,1974,1,1,41
Gone Gone Gone,Bad Company,,1,0,25
Movin' On,Bad Company,,1,0,17
Run With The Pack,Bad Company,,1,0,11
"Silver, Blue And Gold",Bad Company,,1,0,11
